customer_id,branch_id,name,email,city,signup_date
fdf1090d-b2a9-41f8-b7cd-dd9e8c67144e,1,Calvin Ray,mmoss@example.com,New Shelly,2025-10-11
e85e263e-983f-4319-9ac6-40d257f2aca9,1,Julie Silva MD,barbara46@example.com,East Thomas,2024-01-09
4d505822-e9f2-4b25-bd8b-7923f4ca14e9,1,Lisa Nguyen,melissa38@example.net,Port Melissa,2024-06-10
9f6dd45e-a8f6-4577-bc78-d9898659290b,1,Jennifer Jones,ann45@example.com,New Davidborough,2025-10-28
8df7119e-a813-497f-bfce-f2a2e9a2bf01,1,Crystal Brown,ppennington@example.org,East Katherineshire,2024-03-10
cc0a64d7-4f14-440a-9396-bbf778ab2177,1,Lisa Munoz,codymatthews@example.net,Port Lisa,2025-04-13
808d67b3-2e87-4081-9875-973c47a92afd,1,Julia Little,yjohnson@example.net,Ramseybury,2024-12-20
329769c9-7dc1-4cb2-a26b-0521186ed537,1,Joseph Warner,nkemp@example.com,Hunterburgh,2024-08-09
b51e1297-3e94-4099-bb74-9d5cc7e9e437,1,Amanda Reed,carolyn83@example.org,Wendyview,2025-09-06
e7ea2ba7-235d-4379-a004-806c518db4e2,1,Kelly Kerr,lindsay16@example.net,North Tammychester,2023-11-13
d0892506-7575-4347-bfb9-759e78c3e163,1,Johnny Mcdowell,evan34@example.net,East Michaelbury,2024-04-27
cbaf11fe-8826-4aa3-bfda-e352de49bc43,1,Peter Montoya,conleyjames@example.net,New Lindseyside,2025-08-02
47c52da0-f3b7-4d59-9c5a-5eaafd69b5e1,1,Amy Miles,unguyen@example.org,Williamsmouth,2025-02-13
f9e9e9a9-11cf-44c8-950d-12d53f1f7454,1,Timothy Johnson,jonathanhamilton@example.org,Thompsonside,2024-01-31
00b80fea-b556-4bb8-9b56-58a0dbe2c73b,1,Gerald Long,ruth27@example.org,Colinport,2025-11-01
fe0340bc-6085-4f7b-92f9-2b0e3f8d43cf,1,Dylan Brewer,sparkslynn@example.com,New Raymond,2025-11-08
ff3e9f13-fd48-4b93-9386-36834e7154c6,1,Elizabeth Pennington,yhoward@example.org,Markborough,2025-02-15
a2c52079-d101-48cf-b9f2-1195ba353103,1,Seth Roberts PhD,keithbaker@example.org,North Raymond,2023-11-29
66a67416-430f-47bf-8a4e-d65b1a591fea,1,Jeffrey Holmes,lisa14@example.net,Stanleyside,2024-08-02
ebef04da-5a42-417b-a5fd-87aa37609357,1,Spencer Arroyo,sbishop@example.net,New Amber,2023-12-21
e091ff08-7386-4a17-932c-81916f8ae429,1,Kristin Ferguson,donald53@example.com,Lake Alexa,2025-08-09
cff01950-1bd0-4245-84e0-800404964940,1,Brandon Brown,fosterveronica@example.org,North Tracyview,2024-07-20
ec1984bc-d49f-427f-948c-4099a041285e,1,Justin Torres,jlee@example.com,Port Shawn,2023-12-10
cf5420fd-1990-4a56-bf15-6805e2e15ca2,1,Tammy Wallace,kstuart@example.net,Christopherville,2024-05-02
c1132c4e-edd4-4603-8a1d-0c0de82fcfaa,1,Allison Martinez,jeffrey01@example.com,Robertmouth,2024-02-11
fa7175dc-4899-4d5b-a4eb-0e085bccc551,1,Benjamin Davies,nicholas20@example.net,Hughesshire,2025-02-22
d22f2fb9-e3e4-4c1f-bc92-4e61c60550f6,1,Sheryl Chapman,oortiz@example.org,East Darrellchester,2024-05-23
f19f0d8e-2d16-4f4c-b1a3-fbf0c2b79413,1,Michael Martin,timothyarellano@example.net,Cooperton,2025-10-18
4aaa3889-2abe-4ab9-8c1c-fa04c0b10afa,1,Susan Gallagher,ncaldwell@example.org,East Amy,2024-05-31
fa5da14e-5c1e-407e-b936-5573cb1e9e96,1,Joshua Morris,gjohnson@example.org,Lewismouth,2024-09-29
d3d4dad6-f892-46b3-b741-57bdd8e6e52e,1,Dylan Santiago,smartinez@example.org,South Vanessa,2025-06-14
364ec9c4-d0c4-460e-b934-fb34f2c8bbde,1,Shawn Pugh,christopher91@example.com,North Nicolemouth,2023-12-08
92dd9243-b1c7-49b4-9d6c-26606f1d028e,1,Austin Jones,xhowe@example.com,East Deborah,2025-03-12
0db27354-e452-40ee-9d0d-5eb675fcb1aa,1,Sarah Johnson,charlesjohnson@example.net,Arnoldfort,2025-06-18
6d8d2a21-af7d-4e0c-b85c-2b60a95eaa2f,1,Pamela Owens,sheena99@example.org,Lake Marcus,2025-10-12
9a1df462-ede0-439c-871a-b7efabcd885b,1,Linda Espinoza,ortizashley@example.com,Lake Alexisville,2025-07-13
ac1cd38d-9bba-4d18-913e-baf0cea7ee03,1,Miranda Johnson,caitlin54@example.net,East Jillchester,2024-01-31
e9df8f33-23ac-4173-9be3-7b79e37b97b7,1,Bruce Poole,janet72@example.org,Ryanborough,2025-06-23
0b0fb3cc-dd6d-48f7-b70f-93b3b214917d,1,Scott Gould,carralexandra@example.com,Lorifort,2025-05-01
bf6eb3f5-30ac-4ba4-a8ca-f72183a6bb41,1,Keith Gregory,lisacohen@example.org,Johnport,2025-10-26
7e70628d-54d4-48cb-9cd8-fc4b95741d65,1,Matthew Davis,melissa23@example.org,Ellismouth,2024-11-20
6e3cd3c6-1d6e-4c2c-b453-e85a49aaae52,1,Tara Lyons,panderson@example.net,South Lawrence,2024-06-21
