customer_id,branch_id,name,email,city,signup_date
2e09b203-0e8e-4e15-ad39-ad887f336235,3,Janet Allen,oconnorraymond@example.net,Craigville,2024-04-02
4b8012bf-4083-4133-ab17-68acb553b58b,3,Meghan Schneider,markbenson@example.com,Michaelfort,2024-02-23
2c5041b4-5dc5-4276-9307-b35b308ff5c5,3,Geoffrey Parks,perezdaniel@example.org,Lake David,2024-06-13
0d1c5e9a-de1e-45bf-8cd8-5af63155329d,3,Mr. Michael Henry,stephanie16@example.org,Lake Tinaton,2023-11-10
a7ce9642-38d9-4648-b60e-a8dc18f49a23,3,Courtney Powell,jenniferreyes@example.org,Morrisfurt,2024-09-22
23bf6938-b6e7-48cb-82fe-b05153247431,3,Patricia Wilson,todd99@example.com,Millerborough,2024-07-22
49d3924a-2506-4821-9d0d-12a782f03fee,3,Mark Olson,rfrazier@example.net,Feliciamouth,2024-03-14
1ac8b613-09bc-48aa-8f96-97a3f270fcd5,3,Jorge Sims,richardcarey@example.net,Thomaston,2024-11-03
912a3db8-e399-4792-9cd9-10a4fc986729,3,Robert Chapman,jamesjimenez@example.com,Port Kevinberg,2025-08-08
73af17b3-8eb2-4594-adcb-c9e0ba25fbdb,3,Brian Jackson,nscott@example.org,Dominiquehaven,2024-02-28
44b95765-2765-4aa1-90f2-11901291fbbd,3,Isaiah Alexander,turnerpatricia@example.com,New Kathrynberg,2025-02-05
b5cec786-629c-4ec5-b356-d971406f8770,3,Erin Brown,gloriaburnett@example.com,Matthewsland,2024-02-07
eb83f7cd-1b41-44d5-85f4-f425763ee3b3,3,Anna Richardson,acollins@example.org,Port Michael,2024-08-02
d295ec54-98bb-4ceb-a8a2-c54235b9b300,3,Desiree Juarez,guerrerorichard@example.com,Port Donnaland,2025-04-25
f8f50707-8569-4ea0-9190-12e9f3ed4794,3,Cynthia Patton,christopher64@example.org,East Maxbury,2024-09-07
1508c411-ca66-41b3-a260-39965fcc3c71,3,John Juarez,santanajason@example.com,Lake Amanda,2025-10-06
99e0c939-d69d-4702-ba80-7f5b34e7b943,3,Tammy Nelson,kmitchell@example.net,Booneberg,2024-01-28
4172caf4-6606-4a12-965b-397864305b0d,3,Kelly Moss,harrismichelle@example.org,Leeside,2025-07-03
47489220-ace7-4181-a1f6-1d49e1bf79de,3,Allen Mills,fnunez@example.org,Adamside,2024-11-27
9f965746-28cf-4ba5-911d-dac2644cb7b1,3,Melissa Owens,josephwest@example.com,Lake Rachaelchester,2024-08-17
44ea0bb9-0cc7-4f60-9444-05094ee361bb,3,Justin Little,bakerpaul@example.com,East Deborahborough,2024-04-13
